# dc:title,內建詞庫,
# dc:rights,Copyright (c) 2025 libchewing Core Team,
# dc:license,LGPL-2.1-or-later,
# dc:identifier,2025.11.17,
㛃,1,ㄐㄧㄝˊ
㛄,1,ㄧ
㛅,1,ㄦˋ
㛓,1,ㄒㄧ
㛔,1,ㄈㄥ
㛖,1,ㄙㄨㄛ
㛝,1,ㄅㄟˋ
㛥,1,ㄊㄚˋ
㛦,1,ㄌㄢˇ
㛵,1,ㄔㄥ
㜃,1,ㄌㄧㄢˋ
㜅,1,ㄒㄩˋ
㜈,1,ㄇㄨˋ
㜊,1,ㄓㄢˇ
㜍,1,ㄊㄤˊ
㜜,1,ㄠˋ
㜢,1,ㄌㄩˇ
㜣,1,ㄕㄢˇ
㜥,1,ㄇㄞˊ
㜮,1,ㄌㄢˊ
㜮,1,ㄌㄢˋ
㜰,1,ㄩㄝˋ
㜲,1,ㄧㄥˊ
㜳,1,ㄏㄨㄞˊ
㜺,1,ㄗㄢˋ
㝀,1,ㄏㄠˇ
㝀,1,ㄏㄠˋ
㝃,1,ㄇㄧㄢˇ
㝃,1,ㄨㄢˇ
㝢,1,ㄩˇ
㝥,1,ㄇㄧˇ
㝩,1,ㄎㄤ
㝯,1,ㄑㄧㄠˊ
㞓,1,ㄐㄧ
㞓,1,ㄑㄧˋ
㞗,1,ㄑㄧㄡˊ
㞹,1,ㄎㄜˇ
㞾,1,ㄋㄧˊ
㟖,1,ㄌㄨㄥˋ
㟲,1,ㄩㄢˊ
㟸,1,ㄍㄠ
㟻,1,ㄑㄧㄢˋ
㠏,1,ㄏㄨㄚˊ
㠙,1,ㄧㄠˊ
㠠,1,ㄌㄩˊ
㠭,1,ㄓㄢˇ
㠶,1,ㄈㄢ
㠶,1,ㄈㄢˊ
㠸,1,ㄈㄨ
㡑,1,ㄐㄧㄠˇ
㡓,1,ㄎㄨㄣ
㡓,1,ㄏㄨㄟ
㡣,1,ㄌㄨㄥˇ
㡣,1,ㄌㄨㄥˊ
㡧,1,ㄓㄣ
㡧,1,ㄓㄥˋ
㢠,1,ㄏㄨㄟˊ
㢨,1,ㄏㄢˋ
㢬,1,ㄏㄨㄥˊ
㣃,1,ㄩˋ
㣌,1,ㄕㄢˋ
㣑,1,ㄩㄥˊ
㣔,1,ㄓㄥ
㣔,1,ㄔㄥ
㣺,1,ㄒㄧㄣ
㤈,1,ㄑㄧㄣˋ
㤉,1,ㄑㄧㄚ
㤋,1,ㄈㄣ
㤔,1,ㄈㄨˋ
㤧,1,ㄏㄡˊ
㤲,1,ㄑㄧㄝˋ
㤿,1,ㄧㄢ
