22
b	1
p	q
m	a
f	z
d	2
t	w
n	s
l	x
g	e
k	d
h	c
j	r
q	f
x	v
zh	5
ch	t
sh	g
r	b
z	y
c	h
s	n
61
a	8
o	i
e	k
e	,
er	-
ai	9
ei	o
ao	l
ou	.
an	0
en	p
ang	;
eng	/
i	u
ia	u8
iao	ul
ie	u,
iu	u.
ian	u0
in	up
iang	u;
ing	u/
yi	u
ya	u8
yao	ul
ye	u,
you	u.
yan	u0
yin	up
yang	u;
ying	u/
u	j
ua	j8
uo	ji
uai	j9
ui	jo
uan	j0
un	jp
uang	j;
ong	j/
ueng	j/
wu	j
wa	j8
wo	ji
wai	j9
wei	jo
wan	j0
wen	jp
wang	j;
weng	j/
v	m
ve	m,
van	m0
vn	mp
iong	m/
yv	m
yve	m,
yvan	m0
yvn	mp
yong	m/
